ID, MES, DIA, Hora, umidade 
 1, 1, 6, 18, 17 
 1, 1, 10, 12, 19 
 1, 1, 19, 5, 8 
 1, 1, 23, 9, 12 
 1, 1, 4, 16, 13 
 1, 1, 2, 2, 5 
 1, 1, 22, 14, 15 
 1, 1, 20, 14, 18 
 1, 1, 23, 14, 24 
 1, 1, 22, 20, 1 
 1, 1, 6, 2, 8 
 1, 1, 12, 1, 15 
 1, 1, 18, 1, 11 
 1, 1, 15, 22, 2 
 1, 1, 12, 12, 12 
 1, 1, 14, 8, 12 
 1, 1, 3, 23, 7 
 1, 1, 1, 22, 22 
 1, 1, 10, 5, 17 
 1, 1, 15, 14, 7 
 1, 1, 10, 11, 20 
 1, 1, 16, 9, 16 
 1, 1, 18, 22, 16 
 1, 1, 15, 3, 21 
 1, 1, 7, 23, 0 
 1, 1, 5, 23, 8 
 1, 1, 11, 13, 10 
 1, 1, 2, 14, 12 
 1, 1, 14, 14, 18 
 1, 1, 17, 19, 16 
 1, 1, 20, 9, 8 
 1, 1, 1, 20, 17 
 1, 1, 4, 16, 0 
 1, 1, 4, 21, 4 
 1, 1, 12, 21, 3 
 1, 1, 18, 6, 9 
 1, 1, 16, 15, 16 
 1, 1, 17, 15, 14 
 1, 1, 16, 22, 20 
 1, 1, 16, 5, 10 
 1, 1, 10, 13, 10 
 1, 1, 10, 13, 9 
 1, 1, 8, 1, 15 
 1, 1, 13, 20, 11 
 1, 1, 12, 13, 23 
 1, 1, 9, 8, 22 
 1, 1, 11, 12, 10 
 1, 1, 19, 16, 13 
 1, 1, 23, 9, 0 
 1, 1, 10, 9, 13 
 1, 1, 22, 13, 7 
 1, 1, 17, 1, 0 
 1, 1, 8, 15, 11 
 1, 1, 19, 18, 7 
 1, 1, 6, 10, 1 
 1, 1, 14, 10, 7 
 1, 1, 0, 11, 20 
 1, 1, 19, 22, 6 
 1, 1, 11, 15, 7 
 1, 1, 8, 18, 14 
 1, 1, 15, 19, 1 
 1, 1, 4, 18, 15 
 1, 1, 21, 2, 22 
 1, 1, 2, 16, 14 
 1, 1, 11, 20, 21 
 1, 1, 16, 10, 17 
 1, 1, 20, 6, 15 
 1, 1, 20, 20, 0 
 1, 1, 9, 20, 12 
 1, 1, 14, 4, 24 
 1, 1, 8, 17, 17 
 1, 1, 5, 5, 11 
 1, 1, 6, 0, 19 
 1, 1, 15, 8, 1 
 1, 1, 21, 8, 3 
 1, 1, 8, 14, 17 
 1, 1, 23, 7, 17 
 1, 1, 6, 7, 21 
 1, 1, 15, 6, 23 
 1, 1, 21, 5, 8 
 1, 1, 4, 1, 5 
 1, 1, 21, 11, 10 
 1, 1, 16, 19, 18 
 1, 1, 15, 3, 21 
 1, 1, 18, 14, 18 
 1, 1, 0, 2, 22 
 1, 1, 11, 15, 4 
 1, 1, 16, 18, 19 
 1, 1, 18, 21, 16 
 1, 1, 6, 4, 13 
 1, 1, 0, 10, 2 
 1, 1, 3, 21, 24 
 1, 1, 18, 19, 6 
 1, 1, 3, 10, 12 
 1, 1, 8, 16, 10 
 1, 1, 21, 19, 22 
 1, 1, 22, 4, 2 
